Localisation (adresse);Nombre d'arceaux;Type d'attache;Observations;Commune;Année;Type;Nombre d'arceaux supplémentaires;geo_shape;geo_point_2d
22 rue Mozart;10;;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.035969999572414, 47.31304833303436], ""type"": ""Point""}";47.31304833303436, 5.035969999572414
8 AV de la 1ère Armée;5;Boulonnés;;Dijon;2023;Existant;;"{""coordinates"": [5.032837529795975, 47.32450255007698], ""type"": ""Point""}";47.32450255007698, 5.032837529795975
;3;;Boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.0464401833826, 47.32704361825674], ""type"": ""Point""}";47.32704361825674, 5.0464401833826
;4;;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.04914742716107, 47.327688409851305], ""type"": ""Point""}";47.327688409851305, 5.04914742716107
parc Château de Pouilly;4;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.051931177648176, 47.347836939070376], ""type"": ""Point""}";47.347836939070376, 5.051931177648176
parc du Château de Pouilly;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.051148333563786, 47.34676999995967], ""type"": ""Point""}";47.34676999995967, 5.051148333563786
2 rue Franklin Delano Roosevelt;4;Boulonnés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.059420768217971, 47.34776099097795], ""type"": ""Point""}";47.34776099097795, 5.059420768217971
AV Staligrad;2;Scellés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.0587638582156975, 47.346204590651574], ""type"": ""Point""}";47.346204590651574, 5.0587638582156975
8 AV de Dallas;5;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.06173166714428, 47.33746833317288], ""type"": ""Point""}";47.33746833317288, 5.06173166714428
rue Renan face au 66;4;;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.046018181669249, 47.34592436850644], ""type"": ""Point""}";47.34592436850644, 5.046018181669249
2 place St Bernard;4;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.039427718090873, 47.32565492456615], ""type"": ""Point""}";47.32565492456615, 5.039427718090873
33 Rue Verniquet;2;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.042853467691777, 47.34621808192188], ""type"": ""Point""}";47.34621808192188, 5.042853467691777
125 Bd Maréchal Joffre;2;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.04766949910217, 47.344803514862505], ""type"": ""Point""}";47.344803514862505, 5.04766949910217
6 AV de Langres;2;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.045055014634395, 47.343096813191465], ""type"": ""Point""}";47.343096813191465, 5.045055014634395
74 rue Beaumarchais;2;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.048467405711255, 47.342720493266924], ""type"": ""Point""}";47.342720493266924, 5.048467405711255
82 AV du Drapeau;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.044855584763806, 47.34063378153584], ""type"": ""Point""}";47.34063378153584, 5.044855584763806
23 rue Balzac;4;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.047264202425706, 47.34088892458229], ""type"": ""Point""}";47.34088892458229, 5.047264202425706
15 rue Béranger;2;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.049869502905656, 47.33952693664197], ""type"": ""Point""}";47.33952693664197, 5.049869502905656
